objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
42092,042092.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42093,042093.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42094,042094.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42095,042095.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42098,042098.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42099,042099.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42100,042100.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42101,042101.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42102,042102.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42103,042103.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42104,042104.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42105,042105.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42106,042106.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42107,042107.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
42108,042108.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,mountains;deserts;Namibia,Sperrgebiet,-27.37,16.154,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
